销售日期,店风格,店名,店性质,品类描述,品牌描述,所属大区,所属小区,销售额,毛利,毛利率(%)
2017-9-30,时尚馆,成都店,自有店,女士轻便服装,WHO.A.U,中西区,西南,1046,209,19.98
2017-9-30,时尚馆,成都店,自有店,女士轻便服装,WHO.A.U,中西区,西南,3366,673,19.99
2017-9-30,生活馆,北京一期（百货）,自有店,女士上班服装,X.ZHINING,北方区,华北,3979,124,3.12
2017-9-30,时尚馆,重庆店,自有店,女士上班服装,WHO.A.U,中西区,西南,5960,894,15
2017-9-30,时尚馆,重庆店,自有店,女士上班服装,WHO.A.U,中西区,西南,1008,151,14.98
2017-9-30,生活馆,上宝山店,自有店,女士成熟服装,O.C.T.MAMI(十月妈咪),东南区,上海,4863,136,2.8
2017-9-30,生活馆,上宝山店,自有店,女士成熟服装,O.C.T.MAMI(十月妈咪),东南区,上海,1203,337,28.01
2017-9-30,生活馆,天新百店,自有店,女士_衣,O.C.T.MAMI(十月妈咪),北方区,华北,3556,924,25.98
2017-9-30,生活馆,上浦建店,自有店,女士_衣,O.C.T.MAMI(十月妈咪),东南区,上海,2789,753,27
2017-9-30,生活馆,武汉百货,自有店,女士_衣,O.C.T.MAMI(十月妈咪),中西区,华中,5679,164,2.89
2017-9-30,时尚馆,武徐东店,管理店,女士_衣,O.C.T.MAMI(十月妈咪),中西区,华中,1767,481,27.22
2017-9-30,生活馆,北京一期（百货）,自有店,女士饰物,ZIPPO(之宝),北方区,华北,1758,558,31.74
2017-9-30,生活馆,北京二期（百货）,自有店,女士手袋及皮件,LESPORTSAC,北方区,华北,5399,132,2.44
2017-9-30,生活馆,天新百店,自有店,女士皮鞋,HANG TEN,北方区,华北,1847,461,24.96
2017-9-30,生活馆,北京一期（百货）,自有店,女士皮鞋,HANG TEN,北方区,华北,1376,381,27.69
2017-9-30,生活馆,北京二期（百货）,自有店,女士皮鞋,HANG TEN,北方区,华北,1485,337,22.69
2017-9-30,时尚馆,北彩旋店.,自有店,女士皮鞋,HANG TEN,北方区,华北,4648,126,2.71
